comment_text,label
"This strategy is actually useful â€” thank you for sharing it!","Praise / Appreciation"
"This doesn't apply to my classroom.","Skepticism"
"Weâ€™ve done this before â€” nothing changes.","Frustration / Overload"
"Can you explain what this would look like for elementary students?","Confusion"
"I love how this connects to what weâ€™re already doing in our PLC.","Praise / Appreciation"
"We donâ€™t have enough time in our schedule to add this.","Frustration / Overload"
"How will this work for students with IEPs?","Implementation Question"
"I tried something similar last year and it worked great.","Reflection"
"Is this PD being recorded?","Logistics"
"Could this be used in small groups or just whole-class lessons?","Confusion"
"This is exactly what my students need right now.","Praise / Appreciation"
"Another new program? We barely have time for the last one.","Frustration / Overload"
"Does the data actually support this approach?","Skepticism"
"This made me rethink how I give feedback.","Reflection"
"Our admin would never support this.","Frustration / Overload"
"I appreciate that this focuses on real classroom examples.","Praise / Appreciation"
"Can we get a copy of the slides after the session?","Logistics"
"Iâ€™m not sure how this fits with what weâ€™re already doing.","Confusion"
"This slide just called me out, didnâ€™t it? ðŸ˜‚","Humor"
"I feel like this would really help with student motivation.","Reflection"
